Time,dummy,smooth,gdp_statevar,gdp_qnq,debtgdp_ratio_dummy,cpi_ons_qtr,cpi_cloyne_qtr,inf_cpi_ons_qtr,inf_cpi_cloyne_qtr,cpi_log_cloyne_qtr,GDP_index(ONS),GDP_index(cloyne),GDP_log_level(cloyne),Shock,TBILL,bank_rate,consumption_household,consumption_loglevel,gini_tcon,gini_ndcon,gini_inc,gini_wage,inc_p1,inc_p2,inc_p3,inc_p4,inc_p5,wage_p1,wage_p2,wage_p3,wage_p4,wage_p5,house_avg_price_log,hpi_log
01/02/1994,1,0.9724899714527474,0.43,1,0,64.745,83.188468,0.14364043555487455,0.42629105755379293,4.421108732451265,326585,248574,12.423495866909477,-0.080260576,4.9063,5.333,146590,11.895394853284078,0.31709040000000105,0.29788429999999994,0.31889760000000106,0.37021070000000006,6.824524833389841,7.286332934855389,7.66972798,7.981806344,8.397808058,6.539392201,7.518700806,7.994198128,8.344472236,8.785555793,10.90821,3.35515
01/05/1994,1,0.9900652902434032,0.5549999999999999,0.9,0,65.689,83.58206,1.4370747004825595,0.47090488078422355,4.425828903760784,329584,252248,12.438168009542203,0,4.9375,5.25,146576,11.89529934425499,0.3462697000000022,0.3286083000000018,0.32373050000000014,0.38005770000000005,6.856334015,7.3032775128057095,7.685336924,8.015628062,8.424656549,6.579772422,7.576156955790671,8.030560944507709,8.405151928,8.86574358,10.92203,3.36902
01/08/1994,1,0.9919101444309857,0.5799999999999998,1,0,65.619,83.976792,-0.10667642,0.47004891541939914,4.430540474955099,332911,255968,12.452807715648548,0.5756462932987647,5.6563,5.417,148026,11.905143212992764,0.3369850000000029,0.32226710000000147,0.31591270000000066,0.3707234000000002,6.893084576,7.3281315153666196,7.702199261,8.016451704,8.435874482,6.610467911,7.511850512,8.008191508,8.367326252,8.835559943,10.93854,3.38541
01/11/1994,1,0.9850379827890821,0.5049999999999999,0.4,0,65.816,84.293419,0.29931931445241694,0.3756248159776232,4.434303795531049,334363,258184,12.461427788007537,0.5757215317814754,6.1875,5.917,148659,11.909410371497613,0.3445231999999998,0.3298612000000024,0.3196013,0.3685321000000003,6.888465196,7.3401218587256905,7.701683397468949,8.021784213,8.42893907,6.631291314026459,7.518081427,7.999742986053589,8.36130394,8.808229468,10.93177,3.37861
01/02/1995,1,0.9589378037771707,0.37999999999999995,0.5,0,66.341,85.205644,0.7913658220406559,1.070615698,4.445067676,336090,259318,12.465810386780399,0,6.1875,6.583,148324,11.907154349152322,0.3409361000000003,0.3234920000000023,0.31521380000000204,0.37753190000000003,6.9048257754995594,7.344901362,7.711187919,8.037540581,8.447235196,6.603200959820629,7.546698777,8.021540544,8.381636551,8.839487686,10.923,3.37005
01/05/1995,1,0.8455008278039549,0.20500000000000002,0.2,0,67.295,85.695301,1.417638754736619,0.5713930568958431,4.450797993295336,336789,261086,12.472605133946704,0.42178810036983183,6.3125,6.75,149650,11.916054513280844,0.33239140000000045,0.3145160000000015,0.31441760000000046,0.3704748000000003,6.8828473094076195,7.35028664,7.719288696,8.03331257,8.437095855,6.630099676,7.576684615,8.031829602,8.40711035,8.841449826,10.9337,3.38065
01/08/1995,1,0.8706846458887666,0.23000000000000004,1.1,0,67.422,86.292858,0.18836581531250238,0.6924756160005673,4.457746836843212,340542,264444,12.485384787637757,0,6.5625,6.75,151505,11.928373906687295,0.3347266,0.32511080000000125,0.3136239000000022,0.3649446000000029,6.873171668,7.340391101333999,7.7107463723399405,8.037857258,8.428947412,6.652403985,7.588450866,8.053791782,8.395590291,8.858156398243189,10.94239,3.38912
01/11/1995,1,0.8455008278039549,0.20500000000000002,0.3,0,67.698,86.729081,0.40769298945315413,0.5029720077398241,4.462789248537377,341602,265989,12.491210233525303,-0.44958488,6.2188,6.667,152819,11.937009493534028,0.3352468000000031,0.3307277000000026,0.3257221000000028,0.3725026000000001,6.874735212,7.346305863,7.716613717,8.02457518,8.452362367,6.6506173750840105,7.5607497635015894,8.022576195,8.379472944,8.872261655,10.92885,3.37588
01/02/1996,1,0.8922863938601977,0.25500000000000006,0.7,0,68.083,87.44938,0.5654862447307039,0.8236753651083761,4.471060111673898,343859,269017,12.50252985361315,-0.514220966,5.7813,6.167,154675,11.949081420399189,0.32991680000000273,0.3117044000000018,0.31422730000000093,0.3779007,6.879060074,7.344649237,7.7122796757869105,8.026063164,8.441829807,6.6034815335586305,7.55305498,8.020297944,8.375042901,8.853034651,10.94334,3.39014
01/05/1996,1,0.91064994,0.27999999999999997,0.3,0,68.898,87.873805,1.1829080669975873,0.4829937658896179,4.475901751176344,344979,270395,12.507639131855722,-0.102490354,5.5781,5.917,157090,11.964574168493986,0.3250375000000025,0.30581850000000255,0.3227862000000027,0.36731630000000154,6.8625449529625095,7.313499293,7.690627094,8.015721281,8.448003474140659,6.634694517694981,7.5495302249407805,8.018402212,8.379451338,8.828197531,10.94429,3.39115
